No such comm: 18b0832f87394beba7a434a82da13631
No such comm: 8f23c2e821de4e2988620e3ce50ca09a
No such comm: 3c68ed3a5c8142e38776429a351c8586
No such comm: a74454632803413d9ea1210f0da530d4
No such comm: 9ab83643a4254f0799c6d5ba234ab3a5
No such comm: 5d21b4dbffac4d2ba5ca4ff8ac78c79d
No such comm: 73278200e7b34a169ced79802efffc56
No such comm: 6ea989051f8948189f420676bfe2a8e6
No such comm: 0e5d503efd314c59bf4771ab091fa4d7
No such comm: c3ad8723e5ec40a78de7e55f5374a31e
No such comm: 9481c25069d248d1906904f248930842
No such comm: 87f1c5bc5a444ba695615f63c69100f7
No such comm: 3c290a466a2148e78dad0fa5cf101a73
No such comm: d650d4f0e3a8435b83c18c1af2a88f7e
No such comm: 7f9518d889bd4c45884efbf2588ed2ac
No such comm: a7c87dec8f744562b030337818591f2d
device: cuda:0
70102
17526
410
137
Epoch: 1, train_Loss: 1.9578762156207388, val_Loss: 1.4640853896628332
Epoch: 2, train_Loss: 1.6310799126218005, val_Loss: 1.4644024376451534
Epoch: 3, train_Loss: 1.629756244944363, val_Loss: 1.4646450346403748
Epoch: 4, train_Loss: 1.6265140754420584, val_Loss: 1.4647421440938964
Epoch: 5, train_Loss: 1.626003092236635, val_Loss: 1.4648134734508764
Epoch: 6, train_Loss: 1.6247458289309247, val_Loss: 1.464820686483035
Epoch: 7, train_Loss: 1.624798654201554, val_Loss: 1.464854166890583
Epoch: 8, train_Loss: 1.6247757176073585, val_Loss: 1.4648648078424218
Epoch: 9, train_Loss: 1.6247772367989144, val_Loss: 1.4648658807260277
Epoch: 10, train_Loss: 1.6247892669061335, val_Loss: 1.4648787548942288
Epoch: 11, train_Loss: 1.6247599075480206, val_Loss: 1.4648966615217445
Epoch: 12, train_Loss: 1.6233924841008536, val_Loss: 1.4649183532617387
Epoch: 13, train_Loss: 1.6234704389804746, val_Loss: 1.4649212225510255
Epoch: 14, train_Loss: 1.6234914817461152, val_Loss: 1.4649248005699937
Epoch: 15, train_Loss: 1.623509776156123, val_Loss: 1.4649246317626785
Epoch: 16, train_Loss: 1.6235116377109435, val_Loss: 1.4649317151438581
Epoch: 17, train_Loss: 1.6235118762748997, val_Loss: 1.4649338617812109
Epoch: 18, train_Loss: 1.6235103873217978, val_Loss: 1.4649343199103417
Epoch: 19, train_Loss: 1.6235072713072707, val_Loss: 1.4649346779732808
Epoch: 20, train_Loss: 1.6235055514952033, val_Loss: 1.464937815265934
Epoch: 21, train_Loss: 1.6235035550303576, val_Loss: 1.4649380049566283
Epoch: 22, train_Loss: 1.6235011906158634, val_Loss: 1.4649393488890934
Epoch: 23, train_Loss: 1.6234975471729185, val_Loss: 1.4649396138469668
Epoch: 24, train_Loss: 1.6234961626006337, val_Loss: 1.464940153769333
Epoch: 25, train_Loss: 1.623496394041108, val_Loss: 1.4649415046629244
Epoch: 26, train_Loss: 1.6234948379237477, val_Loss: 1.4649414067720845
Epoch: 27, train_Loss: 1.6234945510945669, val_Loss: 1.4649422086068313
Epoch: 28, train_Loss: 1.6234932470612409, val_Loss: 1.4649421133264138
Epoch: 29, train_Loss: 1.6234929715714803, val_Loss: 1.4649424896623096
Epoch: 30, train_Loss: 1.6234917474956048, val_Loss: 1.4649427546201832
Epoch: 31, train_Loss: 1.6234915586506449, val_Loss: 1.4649428364134183
Epoch: 32, train_Loss: 1.6234914491816266, val_Loss: 1.464943025233972
Epoch: 33, train_Loss: 1.6234909669655124, val_Loss: 1.464943198391991
Epoch: 34, train_Loss: 1.6234906200955554, val_Loss: 1.464943198391991
Epoch: 35, train_Loss: 1.6234904597445232, val_Loss: 1.464943198391991
Epoch: 36, train_Loss: 1.623490188470701, val_Loss: 1.4649433850371925
Epoch: 37, train_Loss: 1.6234900327717385, val_Loss: 1.4649433850371925
Epoch: 38, train_Loss: 1.6234899012053885, val_Loss: 1.4649434729214132
Epoch: 39, train_Loss: 1.6234898619535492, val_Loss: 1.4649432901918453
Epoch: 40, train_Loss: 1.6234898331688672, val_Loss: 1.4649434729214132
Epoch: 41, train_Loss: 1.6234897696390385, val_Loss: 1.4649436404235172
Epoch: 42, train_Loss: 1.6234896813950888, val_Loss: 1.4649436404235172
Epoch: 43, train_Loss: 1.6234896467953193, val_Loss: 1.4649436404235172
Epoch: 44, train_Loss: 1.6234896321122239, val_Loss: 1.4649436404235172
Epoch: 45, train_Loss: 1.6234896294954346, val_Loss: 1.4649436404235172
Epoch: 46, train_Loss: 1.623489644905416, val_Loss: 1.4649435612407045
